epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.443,2.36615,1.14463,1.0006,0.86881,0.78385,0.83869,0.31911,1.99925,0.8586,0.93023,0.000664242,0.000664242,0.000664242
2,101.137,2.11621,0.93444,0.92652,0.88367,0.8036,0.84995,0.3334,1.99,0.89886,0.92484,0.00131773,0.00131773,0.00131773
3,153.766,2.12904,0.93656,0.92457,0.88668,0.83232,0.87698,0.34653,1.96851,0.82508,0.91379,0.00195802,0.00195802,0.00195802
4,206.428,2.11994,0.89164,0.91683,0.88727,0.842,0.88174,0.35861,1.93503,0.82069,0.9166,0.0019406,0.0019406,0.0019406
5,260.983,2.05166,0.84897,0.9146,0.88735,0.83303,0.87973,0.36262,1.92318,0.80775,0.90983,0.0019208,0.0019208,0.0019208
6,318.581,2.01681,0.83494,0.91207,0.89472,0.85752,0.88744,0.36171,1.91836,0.78818,0.9114,0.001901,0.001901,0.001901
7,377.789,2.02864,0.82586,0.9065,0.9049,0.86515,0.90473,0.37488,1.88721,0.77455,0.90409,0.0018812,0.0018812,0.0018812
8,437.118,1.98618,0.80163,0.90443,0.91395,0.86113,0.90092,0.37225,1.85823,0.76273,0.90179,0.0018614,0.0018614,0.0018614
9,495.465,1.97522,0.78777,0.89924,0.9066,0.86503,0.90865,0.37014,1.91586,0.76403,0.90665,0.0018416,0.0018416,0.0018416
10,552.78,1.96306,0.7855,0.89009,0.91283,0.87013,0.91484,0.39309,1.83418,0.7538,0.89743,0.0018218,0.0018218,0.0018218
11,611.363,1.95581,0.77692,0.89525,0.91928,0.87457,0.91031,0.39271,1.82936,0.75157,0.89736,0.001802,0.001802,0.001802
12,669.82,1.93404,0.77891,0.89022,0.91523,0.88954,0.91775,0.3929,1.82641,0.75916,0.89393,0.0017822,0.0017822,0.0017822
13,727.274,1.92381,0.77315,0.8921,0.91173,0.88182,0.91366,0.3941,1.81238,0.74047,0.8932,0.0017624,0.0017624,0.0017624
14,790.409,1.89014,0.75967,0.88573,0.91316,0.8752,0.91602,0.39728,1.81781,0.74376,0.89213,0.0017426,0.0017426,0.0017426
15,858.556,1.91537,0.75629,0.8848,0.92318,0.88946,0.92061,0.39309,1.82397,0.72921,0.89484,0.0017228,0.0017228,0.0017228
16,920.947,1.90829,0.76202,0.88777,0.91331,0.88777,0.91983,0.3987,1.79303,0.72235,0.88927,0.001703,0.001703,0.001703
17,982.842,1.88228,0.74476,0.8858,0.91889,0.89064,0.92123,0.38543,1.84714,0.7405,0.895,0.0016832,0.0016832,0.0016832
18,1044.53,1.88227,0.74613,0.88108,0.92699,0.89134,0.92215,0.40459,1.782,0.72272,0.88546,0.0016634,0.0016634,0.0016634
19,1106.8,1.87966,0.74338,0.88394,0.90925,0.88255,0.91663,0.4044,1.81534,0.73117,0.89237,0.0016436,0.0016436,0.0016436
20,1167.95,1.85771,0.743,0.89047,0.91986,0.8957,0.92477,0.40995,1.81404,0.74052,0.89287,0.0016238,0.0016238,0.0016238
21,1228.94,1.87137,0.74091,0.88328,0.92117,0.89695,0.92716,0.40115,1.80119,0.72101,0.88831,0.001604,0.001604,0.001604
22,1286.06,1.85072,0.72583,0.87871,0.92121,0.89279,0.91338,0.39497,1.84675,0.73122,0.8962,0.0015842,0.0015842,0.0015842
23,1338.22,1.86745,0.73108,0.88066,0.92045,0.89891,0.92823,0.40749,1.77509,0.71893,0.8858,0.0015644,0.0015644,0.0015644
24,1389.46,1.84226,0.72692,0.87827,0.9225,0.90083,0.92936,0.40971,1.7795,0.71761,0.88549,0.0015446,0.0015446,0.0015446
25,1440.55,1.8698,0.72829,0.88182,0.92659,0.89515,0.92183,0.40131,1.80865,0.729,0.89149,0.0015248,0.0015248,0.0015248
26,1492.44,1.86201,0.72611,0.87646,0.91807,0.89763,0.92905,0.40926,1.77515,0.70346,0.88526,0.001505,0.001505,0.001505
27,1544.77,1.81309,0.70599,0.87322,0.92835,0.90511,0.93629,0.41891,1.76422,0.69554,0.88367,0.0014852,0.0014852,0.0014852
28,1597.74,1.83575,0.7175,0.87578,0.91865,0.89999,0.92864,0.40457,1.77633,0.70631,0.88393,0.0014654,0.0014654,0.0014654
29,1650.46,1.8253,0.71212,0.87121,0.92253,0.90201,0.93586,0.41625,1.77576,0.70358,0.88525,0.0014456,0.0014456,0.0014456
30,1704.03,1.8425,0.72028,0.87639,0.92622,0.90541,0.92845,0.41411,1.76818,0.69747,0.88454,0.0014258,0.0014258,0.0014258
31,1758.56,1.80927,0.70668,0.87445,0.92678,0.90028,0.92845,0.41031,1.78509,0.70093,0.88585,0.001406,0.001406,0.001406
32,1812.36,1.80482,0.69778,0.86931,0.92769,0.9078,0.93026,0.42208,1.75245,0.68764,0.88236,0.0013862,0.0013862,0.0013862
33,1866.92,1.80093,0.69544,0.86703,0.92466,0.90915,0.93333,0.41612,1.76227,0.69401,0.88387,0.0013664,0.0013664,0.0013664
34,1921.93,1.80757,0.69628,0.86875,0.92633,0.91055,0.9359,0.41929,1.7635,0.69091,0.88369,0.0013466,0.0013466,0.0013466
35,1975.95,1.7954,0.69815,0.87155,0.92949,0.91033,0.93539,0.42281,1.746,0.69002,0.88223,0.0013268,0.0013268,0.0013268
36,2030.41,1.79463,0.6953,0.8698,0.93172,0.90804,0.93766,0.42572,1.74717,0.6849,0.8819,0.001307,0.001307,0.001307
37,2083.79,1.77933,0.69339,0.86895,0.92825,0.91261,0.93559,0.42493,1.75424,0.69424,0.88224,0.0012872,0.0012872,0.0012872
38,2137.74,1.78496,0.69481,0.87022,0.92427,0.90843,0.93772,0.42583,1.75176,0.68742,0.88169,0.0012674,0.0012674,0.0012674
39,2192.87,1.80905,0.70025,0.87068,0.92981,0.91254,0.93678,0.42392,1.7462,0.68585,0.87994,0.0012476,0.0012476,0.0012476
40,2247.75,1.78114,0.68245,0.86554,0.93103,0.90738,0.93037,0.41615,1.7756,0.70035,0.88675,0.0012278,0.0012278,0.0012278
41,2305.1,1.77745,0.69447,0.87286,0.92674,0.91324,0.93843,0.42694,1.74993,0.69325,0.88123,0.001208,0.001208,0.001208
42,2361.5,1.79091,0.69133,0.86827,0.9308,0.91067,0.93887,0.42929,1.74921,0.68701,0.88156,0.0011882,0.0011882,0.0011882
43,2418.89,1.77299,0.68469,0.86958,0.9307,0.91421,0.94028,0.42716,1.75524,0.68745,0.88285,0.0011684,0.0011684,0.0011684
44,2476.53,1.77335,0.67985,0.86174,0.92989,0.91451,0.94062,0.4268,1.74205,0.68151,0.87998,0.0011486,0.0011486,0.0011486
45,2535.4,1.76397,0.67067,0.86177,0.92614,0.91705,0.94043,0.42806,1.73898,0.67802,0.87853,0.0011288,0.0011288,0.0011288
