epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2597.3,1.7529,0.67353,0.86595,0.92939,0.9131,0.93928,0.42709,1.74654,0.67431,0.88118,0.001109,0.001109,0.001109
47,2663.57,1.76079,0.6708,0.86518,0.93078,0.91231,0.93924,0.42677,1.75245,0.68162,0.88326,0.0010892,0.0010892,0.0010892
48,2730.38,1.77162,0.67329,0.86443,0.9246,0.91432,0.93875,0.42652,1.75211,0.67625,0.87988,0.0010694,0.0010694,0.0010694
49,2797.67,1.74793,0.66619,0.86222,0.92763,0.91261,0.93812,0.41948,1.75542,0.67692,0.88072,0.0010496,0.0010496,0.0010496
50,2865.53,1.77047,0.68043,0.86406,0.9303,0.91199,0.93821,0.42904,1.74811,0.67545,0.88252,0.0010298,0.0010298,0.0010298
51,2933.77,1.75621,0.67363,0.86545,0.92982,0.91705,0.94103,0.43019,1.74175,0.67462,0.88026,0.00101,0.00101,0.00101
52,3001.25,1.75515,0.67112,0.85774,0.92841,0.91487,0.94052,0.42793,1.74746,0.67367,0.87995,0.0009902,0.0009902,0.0009902
53,3068.15,1.74857,0.67176,0.86317,0.9326,0.91504,0.94405,0.43376,1.73764,0.6756,0.8802,0.0009704,0.0009704,0.0009704
54,3135.14,1.75559,0.66968,0.86345,0.92627,0.91846,0.94169,0.42971,1.73868,0.68152,0.88031,0.0009506,0.0009506,0.0009506
55,3204.57,1.75183,0.66899,0.86086,0.93253,0.91836,0.94304,0.43357,1.73541,0.66753,0.87881,0.0009308,0.0009308,0.0009308
56,3270.16,1.75322,0.66721,0.85794,0.93356,0.91926,0.94174,0.43044,1.72988,0.66838,0.87776,0.000911,0.000911,0.000911
57,3327.99,1.72962,0.65398,0.85379,0.93184,0.92188,0.94368,0.4359,1.73401,0.66164,0.87834,0.0008912,0.0008912,0.0008912
58,3385.05,1.74074,0.65862,0.85896,0.92873,0.91746,0.94038,0.42648,1.75308,0.67042,0.88197,0.0008714,0.0008714,0.0008714
59,3443.67,1.73423,0.65576,0.86159,0.9292,0.92043,0.9418,0.43459,1.73014,0.66043,0.87911,0.0008516,0.0008516,0.0008516
60,3500.67,1.71163,0.65457,0.86002,0.92957,0.921,0.94147,0.43019,1.74081,0.66181,0.88016,0.0008318,0.0008318,0.0008318
61,3557.62,1.74082,0.6666,0.8626,0.93387,0.91767,0.94077,0.4295,1.74182,0.67501,0.88001,0.000812,0.000812,0.000812
62,3614.38,1.72703,0.65351,0.85689,0.93536,0.91726,0.9427,0.43398,1.73724,0.67111,0.87825,0.0007922,0.0007922,0.0007922
63,3671.01,1.72885,0.65978,0.85924,0.93075,0.92661,0.94312,0.43152,1.74019,0.66707,0.8791,0.0007724,0.0007724,0.0007724
64,3733.35,1.72073,0.65134,0.85924,0.93295,0.92259,0.94301,0.43234,1.74163,0.66298,0.88056,0.0007526,0.0007526,0.0007526
65,3796.31,1.72399,0.65088,0.85341,0.934,0.92523,0.94463,0.43633,1.73449,0.66314,0.87912,0.0007328,0.0007328,0.0007328
66,3860.21,1.71009,0.64869,0.85734,0.93077,0.92051,0.94257,0.43321,1.74562,0.66515,0.88139,0.000713,0.000713,0.000713
67,3919.64,1.72096,0.64874,0.8543,0.93246,0.92322,0.94416,0.4364,1.72559,0.6569,0.87673,0.0006932,0.0006932,0.0006932
68,3975.58,1.7205,0.64767,0.85594,0.93184,0.92371,0.9436,0.43267,1.74042,0.66043,0.87986,0.0006734,0.0006734,0.0006734
69,4031.89,1.69123,0.6397,0.85819,0.93088,0.92952,0.9444,0.43343,1.73802,0.66406,0.87898,0.0006536,0.0006536,0.0006536
70,4090.66,1.71168,0.64858,0.855,0.93412,0.92654,0.94535,0.43768,1.73282,0.66002,0.8794,0.0006338,0.0006338,0.0006338
71,4159.99,1.69579,0.63519,0.85147,0.93164,0.9256,0.94447,0.43802,1.73206,0.6595,0.87931,0.000614,0.000614,0.000614
72,4231.72,1.69506,0.63603,0.85388,0.93258,0.92798,0.94529,0.43727,1.73221,0.65639,0.87834,0.0005942,0.0005942,0.0005942
73,4299.2,1.68499,0.63651,0.85536,0.93385,0.92516,0.94498,0.43833,1.72735,0.65393,0.87817,0.0005744,0.0005744,0.0005744
74,4368.62,1.70926,0.63965,0.85649,0.93387,0.92282,0.94429,0.4312,1.7471,0.65849,0.88012,0.0005546,0.0005546,0.0005546
75,4438.33,1.69891,0.63955,0.85436,0.9399,0.92338,0.94577,0.43665,1.7405,0.66123,0.87954,0.0005348,0.0005348,0.0005348
76,4507.34,1.6906,0.63514,0.85176,0.9361,0.92684,0.94664,0.4401,1.73109,0.65181,0.87739,0.000515,0.000515,0.000515
77,4577.71,1.66682,0.62608,0.85388,0.93473,0.92391,0.94551,0.43669,1.73029,0.65286,0.87851,0.0004952,0.0004952,0.0004952
78,4647.49,1.68689,0.63282,0.85122,0.92765,0.9201,0.94135,0.42495,1.75616,0.66166,0.88098,0.0004754,0.0004754,0.0004754
79,4717.52,1.69228,0.63609,0.85278,0.9358,0.92765,0.94554,0.43901,1.72494,0.65304,0.87745,0.0004556,0.0004556,0.0004556
80,4787.45,1.68535,0.63124,0.85659,0.93359,0.92419,0.94544,0.43897,1.73,0.64714,0.87892,0.0004358,0.0004358,0.0004358
81,4855.41,1.6667,0.625,0.85236,0.93544,0.92779,0.95222,0.43899,1.72957,0.64847,0.8792,0.000416,0.000416,0.000416
82,4921.39,1.65806,0.62005,0.8513,0.93342,0.92945,0.95095,0.43651,1.7284,0.64762,0.87872,0.0003962,0.0003962,0.0003962
83,4991.21,1.65719,0.62282,0.84874,0.93331,0.92808,0.94628,0.43893,1.72969,0.64628,0.87831,0.0003764,0.0003764,0.0003764
84,5061.34,1.64592,0.61685,0.84935,0.93425,0.9276,0.94593,0.4387,1.73106,0.64729,0.87979,0.0003566,0.0003566,0.0003566
85,5129.87,1.63756,0.6112,0.84773,0.93519,0.92999,0.94612,0.43949,1.72751,0.64293,0.87894,0.0003368,0.0003368,0.0003368
86,5196.41,1.648,0.61334,0.84744,0.93443,0.93024,0.94634,0.4396,1.72682,0.6436,0.87868,0.000317,0.000317,0.000317
87,5272.05,1.65847,0.61759,0.84916,0.9345,0.92349,0.94536,0.43362,1.74395,0.64478,0.88008,0.0002972,0.0002972,0.0002972
88,5335.85,1.6377,0.60999,0.8482,0.93268,0.93028,0.94623,0.44103,1.72457,0.63892,0.87829,0.0002774,0.0002774,0.0002774
89,5395.25,1.64434,0.61106,0.84571,0.93254,0.92952,0.95111,0.43583,1.73531,0.63984,0.87969,0.0002576,0.0002576,0.0002576
90,5455.21,1.61529,0.60366,0.84351,0.93613,0.9289,0.95203,0.44113,1.72892,0.63827,0.87871,0.0002378,0.0002378,0.0002378
91,5520.88,1.60313,0.60517,0.8604,0.93464,0.92419,0.94974,0.43943,1.73167,0.64746,0.87867,0.000218,0.000218,0.000218
92,5576.37,1.59297,0.6046,0.86027,0.93452,0.92475,0.94588,0.43992,1.73306,0.64572,0.87922,0.0001982,0.0001982,0.0001982
93,5631.37,1.60098,0.60634,0.86586,0.93275,0.92659,0.94391,0.43514,1.74026,0.6472,0.8797,0.0001784,0.0001784,0.0001784
94,5686.04,1.59439,0.60357,0.86202,0.93391,0.92739,0.94503,0.43882,1.73298,0.64416,0.87979,0.0001586,0.0001586,0.0001586
95,5740.96,1.59774,0.60143,0.85722,0.93124,0.92904,0.94459,0.43911,1.73354,0.64387,0.87987,0.0001388,0.0001388,0.0001388
96,5796.86,1.59612,0.59614,0.85545,0.93409,0.92841,0.94578,0.43886,1.73389,0.64075,0.87971,0.000119,0.000119,0.000119
97,5851.98,1.57791,0.5934,0.85775,0.93594,0.92844,0.94644,0.44049,1.72773,0.63747,0.87889,9.92e-05,9.92e-05,9.92e-05
98,5909.73,1.58368,0.59127,0.85597,0.93601,0.92827,0.94619,0.44083,1.73235,0.63778,0.87921,7.94e-05,7.94e-05,7.94e-05
99,5966.87,1.57454,0.58919,0.85472,0.93429,0.93217,0.94716,0.441,1.7301,0.63793,0.87935,5.96e-05,5.96e-05,5.96e-05
100,6024.44,1.57673,0.58843,0.85871,0.93879,0.92862,0.94739,0.44095,1.7294,0.63827,0.87931,3.98e-05,3.98e-05,3.98e-05
