epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.0197,0.73205,0.56674,0.95715,0.96571,0.81953,0.86816,0.73189,0.68512,0.55303,0.95343,0.000990365,0.000990365,0.000990365
43,95.1345,0.74576,0.60449,0.93449,0.96571,0.81953,0.86816,0.73189,0.68512,0.55303,0.95343,0.000973861,0.000973861,0.000973861
44,97.3373,0.73349,0.56809,0.94848,0.95024,0.82029,0.86854,0.71375,0.76989,0.5506,0.98417,0.000957358,0.000957358,0.000957358
45,99.457,0.7982,0.5691,0.9665,0.95024,0.82029,0.86854,0.71375,0.76989,0.5506,0.98417,0.000940855,0.000940855,0.000940855
46,101.497,0.75718,0.54498,0.93706,0.95024,0.82029,0.86854,0.71375,0.76989,0.5506,0.98417,0.000924352,0.000924352,0.000924352
47,103.583,0.78436,0.60299,0.9627,0.9308,0.83301,0.86449,0.72347,0.73552,0.55499,0.97365,0.000907848,0.000907848,0.000907848
48,105.656,0.72135,0.5481,0.91348,0.9308,0.83301,0.86449,0.72347,0.73552,0.55499,0.97365,0.000891345,0.000891345,0.000891345
49,107.746,0.68584,0.51548,0.90126,0.91867,0.8341,0.86226,0.73208,0.69578,0.53965,0.93664,0.000874842,0.000874842,0.000874842
50,109.848,0.741,0.53737,0.93474,0.91867,0.8341,0.86226,0.73208,0.69578,0.53965,0.93664,0.000858338,0.000858338,0.000858338
51,111.993,0.70501,0.53517,0.92133,0.91867,0.8341,0.86226,0.73208,0.69578,0.53965,0.93664,0.000841835,0.000841835,0.000841835
52,114.115,0.70675,0.51705,0.90336,0.92122,0.848,0.8663,0.75092,0.62663,0.50044,0.91444,0.000825332,0.000825332,0.000825332
53,116.245,0.69084,0.49238,0.89894,0.92122,0.848,0.8663,0.75092,0.62663,0.50044,0.91444,0.000808828,0.000808828,0.000808828
54,118.462,0.72269,0.53675,0.90895,0.92122,0.848,0.8663,0.75092,0.62663,0.50044,0.91444,0.000792325,0.000792325,0.000792325
55,120.628,0.69659,0.5594,0.92242,0.98192,0.83388,0.86954,0.75269,0.62838,0.47538,0.92016,0.000775822,0.000775822,0.000775822
56,122.778,0.59479,0.42905,0.8727,0.98192,0.83388,0.86954,0.75269,0.62838,0.47538,0.92016,0.000759318,0.000759318,0.000759318
57,124.938,0.67993,0.4776,0.91749,0.98255,0.83226,0.87187,0.77655,0.57102,0.45429,0.90291,0.000742815,0.000742815,0.000742815
58,127.073,0.59586,0.46963,0.89395,0.98255,0.83226,0.87187,0.77655,0.57102,0.45429,0.90291,0.000726312,0.000726312,0.000726312
59,129.227,0.58656,0.44719,0.88793,0.98255,0.83226,0.87187,0.77655,0.57102,0.45429,0.90291,0.000709809,0.000709809,0.000709809
60,131.35,0.63251,0.51473,0.92457,0.9874,0.82001,0.8731,0.76387,0.5927,0.45926,0.90153,0.000693305,0.000693305,0.000693305
61,133.352,0.64835,0.48263,0.90139,0.9874,0.82001,0.8731,0.76387,0.5927,0.45926,0.90153,0.000676802,0.000676802,0.000676802
62,135.627,0.67188,0.53041,0.90891,0.9874,0.82001,0.8731,0.76387,0.5927,0.45926,0.90153,0.000660299,0.000660299,0.000660299
63,137.635,0.67692,0.53585,0.92363,0.98588,0.8168,0.87423,0.77647,0.54844,0.44287,0.89378,0.000643795,0.000643795,0.000643795
64,139.689,0.57918,0.46314,0.89769,0.98588,0.8168,0.87423,0.77647,0.54844,0.44287,0.89378,0.000627292,0.000627292,0.000627292
65,141.721,0.55305,0.43687,0.87046,0.97905,0.81971,0.87185,0.77074,0.57628,0.44246,0.89886,0.000610789,0.000610789,0.000610789
66,143.74,0.5629,0.42564,0.85669,0.97905,0.81971,0.87185,0.77074,0.57628,0.44246,0.89886,0.000594286,0.000594286,0.000594286
67,145.753,0.60291,0.48776,0.90249,0.97905,0.81971,0.87185,0.77074,0.57628,0.44246,0.89886,0.000577782,0.000577782,0.000577782
68,147.93,0.62142,0.49329,0.89584,0.97875,0.81901,0.87113,0.76573,0.57775,0.45213,0.89745,0.000561279,0.000561279,0.000561279
69,149.97,0.55427,0.41033,0.85701,0.97875,0.81901,0.87113,0.76573,0.57775,0.45213,0.89745,0.000544776,0.000544776,0.000544776
70,152.094,0.54752,0.41655,0.86697,0.97875,0.81901,0.87113,0.76573,0.57775,0.45213,0.89745,0.000528272,0.000528272,0.000528272
71,154.15,0.58038,0.44936,0.8851,0.97843,0.81915,0.87029,0.77999,0.52743,0.44158,0.89024,0.000511769,0.000511769,0.000511769
72,156.324,0.58181,0.4809,0.88383,0.97843,0.81915,0.87029,0.77999,0.52743,0.44158,0.89024,0.000495266,0.000495266,0.000495266
73,158.654,0.57501,0.5053,0.89868,0.99291,0.81449,0.87147,0.79042,0.50291,0.4278,0.88183,0.000478762,0.000478762,0.000478762
